[0, 0] --- 能量：0.014, 熵：4.542, 对比度：7.954, 相关：0.033, 逆差距：0.328
[0, 1] --- 能量：0.012, 熵：4.585, 对比度：6.810, 相关：0.025, 逆差距：0.362
[0, 2] --- 能量：0.013, 熵：4.585, 对比度：8.647, 相关：0.017, 逆差距：0.380
[0, 3] --- 能量：0.011, 熵：4.724, 对比度：12.505, 相关：0.019, 逆差距：0.278
[0, 4] --- 能量：0.015, 熵：4.479, 对比度：7.224, 相关：0.017, 逆差距：0.407
[0, 5] --- 能量：0.024, 熵：4.218, 对比度：4.135, 相关：0.021, 逆差距：0.465
[0, 6] --- 能量：0.026, 熵：4.203, 对比度：6.828, 相关：0.010, 逆差距：0.474
[0, 7] --- 能量：0.029, 熵：4.081, 对比度：5.962, 相关：0.019, 逆差距：0.488
[0, 8] --- 能量：0.014, 熵：4.469, 对比度：7.008, 相关：0.030, 逆差距：0.393
[1, 0] --- 能量：0.012, 熵：4.585, 对比度：6.810, 相关：0.025, 逆差距：0.362
[1, 1] --- 能量：0.013, 熵：4.585, 对比度：8.647, 相关：0.017, 逆差距：0.380
[1, 2] --- 能量：0.011, 熵：4.724, 对比度：12.505, 相关：0.019, 逆差距：0.278
[1, 3] --- 能量：0.015, 熵：4.479, 对比度：7.224, 相关：0.017, 逆差距：0.407
[1, 4] --- 能量：0.024, 熵：4.218, 对比度：4.135, 相关：0.021, 逆差距：0.465
[1, 5] --- 能量：0.026, 熵：4.203, 对比度：6.828, 相关：0.010, 逆差距：0.474
[1, 6] --- 能量：0.029, 熵：4.081, 对比度：5.962, 相关：0.019, 逆差距：0.488
[1, 7] --- 能量：0.014, 熵：4.469, 对比度：7.008, 相关：0.030, 逆差距：0.393
[1, 8] --- 能量：0.011, 熵：4.653, 对比度：15.975, 相关：0.021, 逆差距：0.285
[2, 0] --- 能量：0.013, 熵：4.585, 对比度：8.647, 相关：0.017, 逆差距：0.380
[2, 1] --- 能量：0.011, 熵：4.724, 对比度：12.505, 相关：0.019, 逆差距：0.278
[2, 2] --- 能量：0.015, 熵：4.479, 对比度：7.224, 相关：0.017, 逆差距：0.407
[2, 3] --- 能量：0.024, 熵：4.218, 对比度：4.135, 相关：0.021, 逆差距：0.465
[2, 4] --- 能量：0.026, 熵：4.203, 对比度：6.828, 相关：0.010, 逆差距：0.474
[2, 5] --- 能量：0.029, 熵：4.081, 对比度：5.962, 相关：0.019, 逆差距：0.488
[2, 6] --- 能量：0.014, 熵：4.469, 对比度：7.008, 相关：0.030, 逆差距：0.393
[2, 7] --- 能量：0.011, 熵：4.653, 对比度：15.975, 相关：0.021, 逆差距：0.285
[2, 8] --- 能量：0.016, 熵：4.355, 对比度：7.378, 相关：0.036, 逆差距：0.328
[3, 0] --- 能量：0.011, 熵：4.724, 对比度：12.505, 相关：0.019, 逆差距：0.278
[3, 1] --- 能量：0.015, 熵：4.479, 对比度：7.224, 相关：0.017, 逆差距：0.407
[3, 2] --- 能量：0.024, 熵：4.218, 对比度：4.135, 相关：0.021, 逆差距：0.465
[3, 3] --- 能量：0.026, 熵：4.203, 对比度：6.828, 相关：0.010, 逆差距：0.474
[3, 4] --- 能量：0.029, 熵：4.081, 对比度：5.962, 相关：0.019, 逆差距：0.488
[3, 5] --- 能量：0.014, 熵：4.469, 对比度：7.008, 相关：0.030, 逆差距：0.393
[3, 6] --- 能量：0.011, 熵：4.653, 对比度：15.975, 相关：0.021, 逆差距：0.285
[3, 7] --- 能量：0.016, 熵：4.355, 对比度：7.378, 相关：0.036, 逆差距：0.328
[3, 8] --- 能量：0.014, 熵：4.441, 对比度：7.414, 相关：0.023, 逆差距：0.353
